"TRAF_CNTL_DEVICE_CD","TRAF_CNTL_DEVICE_LONG_DESC","TRAF_CNTL_DEVICE_SHORT_DESC","TRAF_CNTL_DEVICE_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"000","No control ","NONE      ","","2002-03-20 00:00:00","CONVERT "
"001","Traffic Signals","TRF SIGNAL","","2002-03-20 00:00:00","CONVERT "
"002","Flashing Beacon - Red (Stop)","FLASHBCN-R","","2002-03-20 00:00:00","CONVERT "
"003","Flashing Beacon - Amber (Slow)","FLASHBCN-A","","2002-03-20 00:00:00","CONVERT "
"004","Stop Sign","STOP SIGN ","","2002-03-20 00:00:00","CONVERT "
"005","Slow Sign","SLOW SIGN ","","2002-03-20 00:00:00","CONVERT "
"006","Regulatory Sign","REG-SIGN  ","","2002-03-20 00:00:00","CONVERT "
"007","Yield Sign","YIELD     ","","2006-05-19 13:26:57","isd849  "
"008","Warning Sign","WARNING   ","","2006-05-19 13:27:18","isd849  "
"009","Curve Sign","CURVE     ","","2006-05-19 13:27:46","isd849  "
"010","School Crossing Sign or Special Signal","SCHL X-ING","","2002-03-20 00:00:00","CONVERT "
"011","Police Officer, Flagman - School Patrol","OFCR/FLAG ","","2002-03-20 00:00:00","CONVERT "
"012","Bridge Gate - Barrier","BRDG-GATE ","","2002-03-20 00:00:00","CONVERT "
"013","Temporary Barrier","TEMP-BARR ","","2002-03-20 00:00:00","CONVERT "
"014","No Passing Zone","NO-PASS-ZN","","2002-03-20 00:00:00","CONVERT "
"015","One-way Street","ONE-WAY   ","","2002-03-20 00:00:00","CONVERT "
"016","Channelization","CHANNEL   ","","2002-03-20 00:00:00","CONVERT "
"017","Median Barrier","MEDIAN BAR","","2002-03-20 00:00:00","CONVERT "
"018","Pilot Car","PILOT CAR ","","2002-03-20 00:00:00","CONVERT "
"019","Special Pedestrian Signal","SP PED SIG","","2002-03-20 00:00:00","CONVERT "
"020","Crossbuck","X-BUCK    ","","2002-03-20 00:00:00","CONVERT "
"021","Through Green Arrow or Signal","THR-GN-SIG","","2002-03-20 00:00:00","CONVERT "
"022","Left Turn Green Arrow, Lane Markings, or Signal","L-GRN-SIG ","","2002-03-20 00:00:00","CONVERT "
"023","Right Turn Green Arrow, Lane Markings, or Signal","R-GRN-SIG ","","2002-03-20 00:00:00","CONVERT "
"024","Wigwag or Flashing Lights W/O Drop-Arm Gate","WIGWAG    ","","2002-03-20 00:00:00","CONVERT "
"025","Crossbuck and Advance Warning","X-BUCK WRN","","2002-03-20 00:00:00","CONVERT "
"026","Flashing Lights with Drop-Arm Gates","WW W/ GATE","","2002-03-20 00:00:00","CONVERT "
"027","Supplemental Overhead Signal (RR xing only)","OVRHD SGNL","","2002-03-20 00:00:00","CONVERT "
"028","Special RR Stop Sign","SP RR STOP","","2002-03-20 00:00:00","CONVERT "
"029","Illuminated Grade Crossing","ILUM GRD X","","2002-03-20 00:00:00","CONVERT "
"037","Metered Ramps","RAMP METER","","2002-03-20 00:00:00","CONVERT "
"038","Rumble Strip","RUMBLE STR","","2006-05-19 15:21:10","isd849  "
"090","Left Turn Refuge (when refuge is involved)","L-TURN REF","","2002-03-20 00:00:00","CONVERT "
"091","Right Turn at all times sign, etc.","R-TURN ALL","","2002-03-20 00:00:00","CONVERT "
"092","Emergency Signs or Flares","EMR SGN/FL","","2002-03-20 00:00:00","CONVERT "
"093","Acceleration or Deceleration Lanes","ACCEL LANE","","2002-03-20 00:00:00","CONVERT "
"094","Right Turn Prohibited on Red After Stopping","R-TURN PRO","","2002-03-20 00:00:00","CONVERT "
"095","Bus Stop sign and red lights","BUS STPSGN","","2002-03-20 00:00:00","CONVERT "
"099","Unknown or not definite","UNKNOWN   ","","2002-03-20 00:00:00","CONVERT "
