"CRASH_KEY_XREF_ID","CRASH_ID","VHCL_ID","PARTIC_ID"
"3224650197","1669665","3152246","3597519"
"3224650212","1669966","3152813","3598259"
"3224650243","1670887","3154553","3600442"
"3224650246","1670937","3154650","3600564"
"3224650290","1671637","3155940","3602201"
"3224650291","1671637","3155940","3602202"
"3224650296","1671738","3156122","3602449"
"3224650362","1666257","3145806","3589444"
"3224650391","1668079","3149264","3593734"
"3224650426","1668815","3150643","3595491"
"3224650441","1669279","3151522","3596594"
"3224650506","1670602","3153994","3599762"
"3224650519","1670852","3154487","3600368"
"3224650536","1671237","3155209","3601263"
"3224650600","1663999","3141508","3584010"
"3224650611","1665136","3143712","3586787"
"3224650622","1666272","3145835","3589480"
"3224650653","1668243","3149579","3594130"
"3224650692","1669316","3151583","3596672"
"3224650716","1669680","3152272","3597556"
"3224650763","1670652","3154093","3599888"
"3224650766","1670701","3154191","3600010"
"3224650770","1670901","3154578","3600472"
"3224650779","1671152","3155059","3601061"
"3224650787","1671238","3155212","3601266"
"3224650802","1671488","3155663","3601843"
"3224650817","1671887","3156399","3602778"
"3224650870","1664685","3142817","3585692"
"3224650902","1667043","3147302","3591282"
"3224650928","1668529","3150103","3594781"
"3224650929","1668529","3150103","3594782"
"3224650938","1668829","3150669","3595524"
"3224650941","1668929","3150869","3595757"
"3224650956","1669316","3151582","3596671"
"3224650957","1669329","3151605","3596703"
"3224650962","1669466","3151875","3597052"
"3224651010","1670887","3154554","3600443"
"3224651011","1670937","3154649","3600563"
"3224651023","1671201","3155147","3601180"
"3224651024","1671202","3155149","3601182"
"3224651053","1671552","3155783","3602004"
"3224651115","1664600","3142652","3585475"
"3224651122","1665071","3143588","3586640"
"3224651162","1668530","3150104","3594783"
"3224651166","1668680","3150389","3595165"
"3224651184","1669029","3151040","3595985"
"3224651185","1669029","3151040","3595986"
"3224651186","1669029","3151040","3595987"
"3224651190","1669229","3151426","3596470"
"3224651204","1669466","3151876","3597053"
"3224651205","1669466","3151876","3597054"
"3224651227","1669965","3152812","3598257"
"3224651231","1670151","3153147","3598693"
"3224651232","1670151","3153148","3598694"
"3224651302","1671837","3156305","3602666"
"3224651303","1671837","3156306","3602667"
"3224651304","1671837","3156306","3602668"
"3224651305","1671837","3156306","3602669"
"3224651306","1671837","3156306","3602670"
"3224651342","1673359","3159149","3606204"
"3224651347","1657798","3129849","3569349"
"3224651373","1664635","3142718","3585569"
"3224651388","1666893","3147015","3590941"
"3224651389","1666893","3147015","3590942"
"3224651390","1666893","3147015","3590943"
"3224651391","1666893","3147016","3590944"
"3224651392","1666893","3147016","3590945"
"3224651393","1666893","3147016","3590946"
"3224651395","1666993","3147215","3591168"
"3224651396","1666993","3147216","3591169"
"3224651397","1666993","3147216","3591170"
"3224651401","1667058","3147330","3591322"
"3224651402","1667058","3147330","3591323"
"3224651418","1668230","3149555","3594099"
"3224651419","1668230","3149555","3594100"
"3224651420","1668230","3149556","3594101"
"3224651436","1668530","3150105","3594784"
"3224651437","1668530","3150105","3594785"
"3224651469","1669029","3151041","3595988"
"3224651470","1669029","3151041","3595989"
"3224651474","1669229","3151427","3596471"
"3224651475","1669229","3151427","3596472"
"3224651503","1669665","3152245","3597518"
"3224651507","1669966","3152814","3598260"
"3224651532","1670552","3153899","3599643"
"3224651552","1671251","3155235","3601294"
"3224651553","1671251","3155236","3601295"
"3224651558","1671402","3155503","3601622"
"3224651559","1671402","3155503","3601623"
"3224651574","1671873","3156371","3602746"
"3224651575","1671873","3156372","3602747"
"3224651576","1671873","3156372","3602748"
"3224651633","1664586","3142630","3585445"
"3224651634","1664586","3142630","3585446"
"3224651640","1664685","3142816","3585691"
"3224651687","1668329","3149732","3594320"
"3224651699","1668594","3150225","3594952"
"3224651710","1668865","3150747","3595610"
"3224651726","1669266","3151497","3596561"
"3224651788","1670937","3154648","3600562"
