"CRASH_HR_NO","CRASH_HR_LONG_DESC","CRASH_HR_MED_DESC","CRASH_HR_SHORT_DESC","CRASH_HR_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"00","12:00 AM (Midnight) to 12:59 AM","00:00 to 00:59","12A","","2002-03-20 00:00:00","CONVERT "
"01","01:00 AM to 01:59 AM","01:00 to 01:59","1A ","","2002-03-20 00:00:00","CONVERT "
"02","02:00 AM to 02:59 AM","02:00 to 02:59","2A ","","2002-03-20 00:00:00","CONVERT "
"03","03:00 AM to 03:59 AM","03:00 to 03:59","3A ","","2002-03-20 00:00:00","CONVERT "
"04","04:00 AM to 04:59 AM","04:00 to 04:59","4A ","","2002-03-20 00:00:00","CONVERT "
"05","05:00 AM to 05:59 AM","05:00 to 05:59","5A ","","2002-03-20 00:00:00","CONVERT "
"06","06:00 AM to 06:59 AM","06:00 to 06:59","6A ","","2002-03-20 00:00:00","CONVERT "
"07","07:00 AM to 07:59 AM","07:00 to 07:59","7A ","","2002-03-20 00:00:00","CONVERT "
"08","08:00 AM to 08:59 AM","08:00 to 08:59","8A ","","2002-03-20 00:00:00","CONVERT "
"09","09:00 AM to 09:59 AM","09:00 to 09:59","9A ","","2002-03-20 00:00:00","CONVERT "
"10","10:00 AM to 10:59 AM","10:00 to 10:59","10A","","2002-03-20 00:00:00","CONVERT "
"11","11:00 AM to 11:59 AM","11:00 to 11:59","11A","","2002-03-20 00:00:00","CONVERT "
"12","12:00 PM (Noon) to 12:59 PM","12:00 to 12:59","12P","","2002-03-20 00:00:00","CONVERT "
"13","01:00 PM to 01:59 PM ","13:00 to 13:59","1P ","","2002-03-20 00:00:00","CONVERT "
"14","02:00 PM to 02:59 PM","14:00 to 14:59","2P ","","2002-03-20 00:00:00","CONVERT "
"15","03:00 PM to 03:59 PM","15:00 to 15:59","3P ","","2002-03-20 00:00:00","CONVERT "
"16","04:00 PM to 04:59 PM","16:00 to 16:59","4P ","","2002-03-20 00:00:00","CONVERT "
"17","05:00 PM to 05:59 PM","17:00 to 17:59","5P ","","2002-03-20 00:00:00","CONVERT "
"18","06:00 PM to 06:59 PM","18:00 to 18:59","6P ","","2002-03-20 00:00:00","CONVERT "
"19","07:00 PM to 07:59 PM","19:00 to 19:59","7P ","","2010-01-29 09:17:18","Hwye85p "
"20","08:00 PM to 08:59 PM","20:00 to 20:59","8P ","","2002-03-20 00:00:00","CONVERT "
"21","09:00 PM to 09:59 PM","21:00 to 21:59","9P ","","2002-03-20 00:00:00","CONVERT "
"22","10:00 PM to 10:59 PM","22:00 to 22:59","10P","","2002-03-20 00:00:00","CONVERT "
"23","11:00 PM to 11:59 PM ","23:00 to 23:59","11P","","2002-03-20 00:00:00","CONVERT "
"99","Unknown Time","Unknown Time","UNK","","2002-03-20 00:00:00","CONVERT "
