"URB_AREA_CD","URB_AREA_HIST_START_YR_NO","URB_AREA_HIST_TERMNT_YR_NO","FIPS_URB_AREA_ID","LAST_UD_DT","LAST_UD_USER_ID"
"1","1985","2014","01000","2015-10-26 15:18:37","Hwye85p "
"1","2015","","00955","2015-10-26 14:26:52","hwye85p "
"3","1985","2003","03050","2015-10-28 17:51:27","Hwye85p "
"5","1985","","03150","2007-07-06 08:32:48","isd849  "
"7","1985","","03650","2007-07-06 08:32:48","isd849  "
"9","1985","2014","00425","2015-10-26 15:18:44","Hwye85p "
"9","2015","","06868","2015-10-26 14:40:43","hwye85p "
"11","1985","","08650","2007-07-06 08:32:48","isd849  "
"13","1985","","10750","2007-07-06 08:32:48","isd849  "
"17","1985","","15250","2007-07-06 08:32:48","isd849  "
"19","1985","2014","00434","2015-10-26 15:19:38","Hwye85p "
"19","2015","","20422","2015-10-26 15:19:53","hwye85p "
"21","1985","","15950","2007-07-06 08:32:48","isd849  "
"22","2015","","16950","2015-10-26 15:20:32","hwye85p "
"23","1985","","17700","2007-07-06 08:32:48","isd849  "
"25","1985","2014","00161","2015-10-26 15:21:07","Hwye85p "
"25","2015","","28117","2015-10-26 15:21:20","hwye85p "
"27","1985","","26050","2007-07-06 08:32:48","isd849  "
"31","1985","2014","30550","2015-10-26 15:21:48","Hwye85p "
"31","2015","","34516","2015-10-26 15:22:06","hwye85p "
"32","1985","2014","30750","2015-10-28 17:54:43","Hwye85p "
"33","1985","","33700","2007-07-06 08:32:48","isd849  "
"34","1985","","34900","2007-07-06 08:32:48","isd849  "
"35","1985","","39700","2007-07-06 08:32:48","isd849  "
"36","2015","","38000","2015-10-26 15:23:36","hwye85p "
"37","1985","","40350","2007-07-06 08:32:48","isd849  "
"38","1985","2014","41050","2015-10-26 15:25:11","Hwye85p "
"39","1985","","41650","2007-07-06 08:32:48","isd849  "
"41","1985","","42600","2007-07-06 08:32:48","isd849  "
"42","1985","","45250","2007-07-06 08:32:48","isd849  "
"43","1985","","45000","2007-07-06 08:32:48","isd849  "
"44","1985","2014","00351","2015-10-26 15:25:11","Hwye85p "
"44","2014","","55981","2015-10-26 15:25:22","hwye85p "
"45","1985","2014","48600","2015-10-26 15:25:53","Hwye85p "
"45","2015","","91405","2015-10-26 15:26:03","hwye85p "
"46","1985","","49450","2007-07-06 08:32:48","isd849  "
"47","1985","","49550","2007-07-06 08:32:48","isd849  "
"48","2015","","50590","2015-10-26 17:02:51","hwye85p "
"49","1985","","52100","2007-07-06 08:32:48","isd849  "
"51","1985","","52450","2007-07-06 08:32:48","isd849  "
"53","1985","2014","54900","2015-10-26 15:34:41","Hwye85p "
"53","2015","","54900","2015-10-26 15:31:45","hwye85p "
"55","1985","","57150","2007-07-06 08:32:48","isd849  "
"57","1985","2014","00027","2015-10-26 15:35:55","Hwye85p "
"57","2015","","71317","2015-10-26 15:36:20","hwye85p "
"59","1985","","59850","2007-07-06 08:32:48","isd849  "
"61","1985","2014","00286","2015-10-28 17:56:33","Hwye85p "
"61","2015","","51283","2015-10-28 17:56:30","hwye85p "
"63","1985","","61200","2007-07-06 08:32:48","isd849  "
"65","1985","","63650","2007-07-06 08:32:48","isd849  "
"67","1985","2014","00225","2015-10-26 16:57:48","Hwye85p "
"67","2015","","78229","2015-10-26 16:58:15","hwye85p "
"68","1985","","65250","2007-07-06 08:32:48","isd849  "
"69","1985","","65950","2007-07-06 08:32:48","isd849  "
"70","2015","","67050","2015-10-26 17:04:19","hwye85p "
"71","1985","","67650","2007-07-06 08:32:48","isd849  "
"73","1985","","64600","2007-07-06 08:32:48","isd849  "
"75","1985","","70200","2007-07-06 08:32:48","isd849  "
"77","1985","","71650","2007-07-06 08:32:48","isd849  "
"79","1985","","71950","2007-07-06 08:32:48","isd849  "
"80","2015","","73700","2015-10-26 17:04:34","hwye85p "
"81","1985","","72950","2007-07-06 08:32:48","isd849  "
"82","2015","","77050","2015-10-26 15:12:20","hwye85p "
"83","1985","2003","82800","2015-10-28 17:57:35","Hwye85p "
"84","2014","","86140","2017-12-11 09:12:50","hwye85p "
"85","1985","","83750","2007-07-06 08:32:48","isd849  "
